date,total_energy_kwh,session_count,unique_stations_used
2019-03-18,1265.253,117,28
2019-03-19,1232.1970000000001,128,27
2019-03-20,994.25,121,28
2019-03-21,1232.565,133,29
2019-03-22,1088.109,122,28
2019-03-23,961.538,117,30
2019-03-24,615.351,88,27
2019-03-25,1154.57,115,28
2019-03-26,1260.713,129,26
2019-03-27,1006.165,115,28
2019-03-28,1295.301,143,28
2019-03-29,1068.347,129,29
2019-03-30,759.497,96,28
2019-03-31,739.129,95,26
2019-04-01,904.118,100,27
2019-04-02,1018.024,107,25
2019-04-03,990.392,111,28
2019-04-04,1084.782,121,26
2019-04-05,899.866,101,27
2019-04-06,778.227,103,29
2019-04-07,650.435,98,29
2019-04-08,1020.163,113,28
2019-04-09,1066.946,122,26
2019-04-10,1244.174,123,28
2019-04-11,1184.99,127,28
2019-04-12,1349.182,138,28
2019-04-13,741.597,97,25
2019-04-14,576.126,89,24
2019-04-15,1061.33,108,27
2019-04-16,1334.068,130,29
2019-04-17,1291.608,147,27
2019-04-18,1173.346,126,27
2019-04-19,963.368,125,28
2019-04-20,649.5,78,27
2019-04-21,672.53,88,27
2019-04-22,1281.579,124,28
2019-04-23,1132.319,125,28
2019-04-24,1203.685,134,28
2019-04-25,1106.6970000000001,127,28
2019-04-26,1193.442,124,27
2019-04-27,928.403,123,29
2019-04-28,585.051,92,25
2019-04-29,1391.318,143,28
2019-04-30,1133.031,127,28
2019-05-01,1225.025,123,28
2019-05-02,1233.183,138,28
2019-05-03,1388.667,140,27
2019-05-04,955.067,124,26
2019-05-05,793.32,97,28
2019-05-06,1185.674,115,27
2019-05-07,1082.9,118,28
2019-05-08,1273.376,126,28
2019-05-09,1055.8,125,30
2019-05-10,1243.65,138,28
2019-05-11,736.813,104,28
2019-05-12,616.219,97,27
2019-05-13,1296.961,128,28
2019-05-14,1116.876,133,27
2019-05-15,1268.459,143,27
2019-05-16,1381.51,140,28
2019-05-17,1187.615,145,28
2019-05-18,689.224,81,27
