date,total_energy_kwh,session_count,unique_stations_used,day_of_week,is_weekend,month,is_holiday,dow_sin,dow_cos,month_sin,month_cos,lag_1d,lag_7d,rolling_7d_avg,rolling_14d_avg
2019-12-07,793.186,107,28,5,1,12,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1345.606,1079.256,1183.0488571428573,1061.0002142857143
2019-12-08,898.289,106,28,6,1,12,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,793.186,563.34,1142.1817142857142,1048.7012857142856
2019-12-09,1244.818,132,29,0,0,12,0,0.0,1.0,-2.4492935982947064e-16,1.0,898.289,1182.632,1190.0315714285714,1057.1585714285716
2019-12-10,1262.94,128,28,1,0,12,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,1244.818,1369.462,1198.9152857142858,1038.744357142857
2019-12-11,1388.616,150,28,2,0,12,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,1262.94,1197.538,1183.6978571428572,1042.2007142857142
2019-12-12,1433.344,160,28,3,0,12,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,1388.616,1543.508,1210.9947142857143,1062.2767142857142
2019-12-13,1399.912,158,28,4,0,12,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1433.344,1345.606,1195.2569999999998,1136.7069285714285
2019-12-14,956.603,124,27,5,1,12,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1399.912,793.186,1203.0149999999999,1193.0319285714286
2019-12-15,877.207,95,27,6,1,12,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,956.603,898.289,1226.3602857142857,1184.271
2019-12-16,1409.842,143,27,0,0,12,0,0.0,1.0,-2.4492935982947064e-16,1.0,877.207,1244.818,1223.3485714285714,1206.6900714285714
2019-12-17,1365.928,141,29,1,0,12,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,1409.842,1262.94,1246.9234285714285,1222.919357142857
2019-12-18,1383.944,143,28,2,0,12,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,1365.928,1388.616,1261.6360000000002,1222.6669285714286
2019-12-19,1375.177,150,27,3,0,12,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,1383.944,1433.344,1260.9685714285715,1235.9816428571428
2019-12-20,1199.769,131,28,4,0,12,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1375.177,1399.912,1252.6589999999999,1223.958
2019-12-21,759.2620000000001,94,25,5,1,12,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,1199.769,956.603,1224.0671428571427,1213.5410714285715
2019-12-22,783.911,96,28,6,1,12,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,759.2620000000001,877.207,1195.8755714285712,1211.1179285714286
2019-12-23,1049.796,104,28,0,0,12,0,0.0,1.0,-2.4492935982947064e-16,1.0,783.911,1409.842,1182.5475714285715,1202.9480714285714
2019-12-24,585.581,63,25,1,0,12,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,1049.796,1365.928,1131.1124285714286,1189.0179285714287
2019-12-25,152.441,20,13,2,0,12,1,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,585.581,1383.944,1019.6342857142856,1140.635142857143
2019-12-26,708.374,82,27,3,0,12,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,152.441,1375.177,843.7052857142857,1052.3369285714286
2019-12-27,666.621,84,27,4,0,12,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,708.374,1199.769,748.4477142857143,1000.5533571428571
2019-12-28,593.934,72,25,5,1,12,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,666.621,759.2620000000001,672.2837142857143,948.1754285714286
2019-12-29,630.092,71,25,6,1,12,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,593.934,783.911,648.6654285714285,922.2705
2019-12-30,854.566,96,27,0,0,12,0,0.0,1.0,-2.4492935982947064e-16,1.0,630.092,1049.796,626.6912857142858,904.6194285714284
2019-12-31,688.771,69,28,1,0,12,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,854.566,585.581,598.8012857142858,864.9568571428572
2020-01-01,404.171,39,21,2,0,1,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,688.771,152.441,613.5427142857143,816.5885000000001
2020-01-02,1051.07,112,28,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,404.171,708.374,649.5041428571429,746.6047142857143
2020-01-03,1234.823,117,26,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1051.07,666.621,698.4607142857142,723.4542142857143
2020-01-04,881.846,101,28,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1234.823,593.934,779.6324285714285,725.9580714285714
2020-01-05,787.43,102,26,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,881.846,630.092,820.7627142857143,734.7140714285715
2020-01-06,1435.957,133,28,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,787.43,854.566,843.2395714285714,734.9654285714287
2020-01-07,1373.136,135,28,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,1435.957,688.771,926.2954285714286,762.5483571428571
2020-01-08,1472.609,138,28,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1373.136,404.171,1024.0618571428572,818.8022857142857
2020-01-09,1463.423,153,28,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1472.609,1051.07,1176.695857142857,913.1
2020-01-10,1538.762,148,29,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1463.423,1234.823,1235.6034285714286,967.0320714285715
2020-01-11,932.853,118,28,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1538.762,881.846,1279.0232857142857,1029.327857142857
2020-01-12,920.813,110,29,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,932.853,787.43,1286.31,1053.5363571428572
